Treatment ID,Risk ID,Risk Description,Inherent Risk Rating,Treatment Option,Planned Action,Control Owner,Target Timeline,Residual Risk Rating,Status,Validation Evidence
RT-001,ISO-R-001,Privileged account compromise,High,Mitigate,Enforce MFA for all privileged accounts and perform quarterly privileged access reviews,IT Security,30 Days,Medium,Open,MFA configuration and privileged access review records
RT-002,ISO-R-002,Former employee retains system access,High,Mitigate,Automate account disablement during offboarding and review inactive accounts quarterly,IT / HR,30 Days,Low,Open,Termination records and account disablement logs
RT-003,ISO-R-003,Third-party vendor compromise,High,Mitigate,Implement vendor questionnaires risk classification and annual reassessment for high-risk vendors,GRC / Procurement,60 Days,Medium,Open,Vendor questionnaires and risk assessment reports
RT-004,ISO-R-004,Delayed vulnerability remediation,High,Mitigate,Define severity-based remediation SLAs and require documented risk acceptance for exceptions,Vulnerability Management,60 Days,Medium,Open,Vulnerability reports remediation tickets and risk acceptance records
RT-005,ISO-R-005,Incident response failure,High,Mitigate,Conduct annual tabletop exercises and track corrective actions,Security Team,60 Days,Medium,Open,Tabletop report lessons learned and updated incident response plan
RT-006,ISO-R-006,Backup restoration failure,Medium,Mitigate,Perform quarterly restoration tests and document recovery results,IT Operations,90 Days,Low,Open,Backup restore test reports and recovery logs
RT-007,ISO-R-007,Incomplete security log retention,Medium,Mitigate,Define retention requirements and increase retention for critical security logs,Security Operations,90 Days,Low,Open,Log retention policy and SIEM configuration screenshots
RT-008,ISO-R-008,Employee phishing compromise,High,Mitigate,Conduct recurring phishing simulations and assign targeted follow-up training,Security Awareness,60 Days,Medium,Open,Phishing simulation reports and training completion records
RT-009,ISO-R-009,Unauthorized access due to excessive permissions,High,Mitigate,Perform quarterly access reviews and remove unnecessary permissions,IT Security,30 Days,Medium,Open,Access review reports and evidence of removed access
RT-010,ISO-R-010,Disruption caused by untested business continuity procedures,Medium,Mitigate,Conduct annual business continuity and disaster recovery exercises,IT Operations,90 Days,Low,Open,BCP and DR exercise reports
